dddx,dddy,dddz,dddw,dddex,dddey,dddez,dddx_d,dddy_d,dddz_d,dddw_d,dddex_d,dddey_d,dddez_d,dddx_k,dddy_k,dddz_k,dddw_k,dddex_k,dddey_k,dddez_k,ddx_k,ddy_k,ddz_k,ddw_k,ddex_k,ddey_k,ddez_k,e_x,e_y,e_z,e_w,e_ex,e_ey,e_ez,de_x,de_y,de_z,de_w,de_ex,de_ey,de_ez,dde_x,dde_y,dde_z,dde_w,dde_ex,dde_ey,dde_ez,ddde_x,ddde_y,ddde_z,ddde_w,ddde_ex,ddde_ey,ddde_ez,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,q1_k,q2_k,q3_k,q4_k,q5_k,q6_k,dq1_k,dq2_k,dq3_k,dq4_k,dq5_k,dq6_k,ddq1_k,ddq2_k,ddq3_k,ddq4_k,ddq5_k,ddq6_k
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049610042688479706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000001462890327,1.0798465580920402e-09,3.2759388257641575e-10,-1.553830760725461e-07,-6.203519766975751e-08,4.968961491984308e-07,2.9635123146497418e-05,-0.0,0.012566370614359173,0.0,-0.0,-0.0,-0.0,-0.0,-0.007895683520871485,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.22517055734340663,-2.1631463844539867,-2.1391916637216886,-0.4183276479674921,1.5382739831407561,-1.3504534652757598,-0.03889126565933761,-0.22226244539865242,0.05641662783111565,0.16463720325078804,-0.00032668592437415275,-0.038833527575979486,-3.889126565933761,-22.22624453986524,5.641662783111565,16.463720325078803,-0.032668592437415274,-3.8833527575979487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
182.23198984923195,-153.07053879899286,-787.5965689135243,0.24952500092714772,-2.7509438460246134,-1.818927502140696,-0.15325305920386306,3.117070403492432e-05,-0.0049609063428710035,0.0,0.0,0.0,0.0,0.0,9.104621585781953e-07,-7.64766566424264e-07,-3.934967031941292e-06,1.2466695400259584e-09,-1.3744185498117847e-08,-9.0876725939633e-09,-7.656784695535673e-10,0.00018204085832727114,-0.00015290999286481183,-0.0007867705090596419,2.4926329005391446e-07,-2.7480585563202403e-06,-1.817019744989451e-06,-1.5309232183565992e-07,0.019817053743618307,0.0002785726612380214,0.0007873130642935544,-1.6066161434569182e-07,2.69681293647156e-06,5.069031065030988e-07,2.981873091474716e-05,-0.01830215530061778,0.027873176444861068,0.07875965689135243,-2.495250009271477e-05,0.00027509438460246135,0.00018189275021406962,1.5325305920386306e-05,-1.830215426159158,1.5306557782736605,7.875965689135243,-0.0024952500092714773,0.027509438460246134,0.01818927502140696,0.0015325305920386306,0.2248886402626959,-2.1650018754342253,-2.137900726838286,-0.4177676262121647,1.5385034260532926,-1.3507336164280188,-0.028191708071074524,-0.18554909802384822,0.12909368834025453,0.05600217553274303,0.022944291253640524,-0.02801511522589751,1.069955758826308,3.671334737480421,7.267706050913888,-10.8635027718045,2.327097717801468,1.0818412350081976,5.3408802931432985e-05,0.00018326140298035174,0.0003627808692413936,-0.0005422716536624304,0.00011616134815572532,5.4002088261137754e-05,0.010683540286484246,0.036658387273943736,0.07256826251436474,-0.10847240043104196,0.023236140385832025,0.010802217122012993,1.068887938707719,3.667670730756389,7.2604528512622775,-10.852660952670963,2.3247752649892908,1.0807615531369321,,,,,,,
70.2997227971419,283.8205250234578,1044.792985989459,-0.39596345801762856,116.69414438883896,138.31062678190253,-3.254525054532994,6.234017750382615e-05,-0.004960612568806052,0.0,0.0,0.0,0.0,0.0,5.960671734143498e-06,1.8455678644601295e-06,1.1910434917020688e-06,-1.6754715316859721e-09,2.263401477838399e-06,2.71871444395599e-06,-6.887408063536325e-08,0.0006868354515399336,0.00010799409419344269,-0.0002744478095944708,-4.280210389096314e-08,0.00022486019709147342,0.00027083591566943804,-6.96076460124691e-06,0.0193810250109957,0.0004263911939106598,0.001317400765678392,-1.8143255520186585e-07,-0.00010882038352945725,2.490408722566193e-07,3.113967229026373e-05,-0.04363427976388961,0.014797433684014968,0.05304001518375895,-1.0308654383666691e-05,-0.011119225669678974,-0.013467277177762116,0.000356103117294072,-2.533212186574631,-1.3075990797186787,-2.5719641707593484,0.001464384570904808,-1.1394320054281435,-1.3649169927976184,0.03407778113736857,0.22465858472093492,-2.1665606539972058,-2.136095790787654,-0.41794870594616634,1.5393083843584532,-1.350944054338126,-0.023005554176098057,-0.15587785629802886,0.18049360506321882,-0.018107973400167746,0.08049583051605075,-0.021043791010709575,0.5186153894976469,2.9671241725819377,5.139991672296428,-7.411014893291077,5.755153926241022,0.6971324215187934,0.00010389011866860809,0.0005934454445181799,0.0010283804899388171,-0.0014829007913319935,0.0011492411923042347,0.0001395150022682138,0.010388913756128087,0.05935210146620103,0.10284813220057044,-0.14830334285028865,0.11495466152850627,0.013952549288481877,0.5191640161668493,2.9678226237864984,5.142105791118926,-7.414446245294447,5.75173380793469,0.6975149032053518,,,,,,,
-75.74591843756131,-16.076704453917,-55.71808837703438,-0.01203741775747597,174.5772203074697,-212.968330585046,-6.151068570374504,9.350718988926359e-05,-0.004960122958250814,0.0,0.0,0.0,0.0,0.0,0.0021174519256768427,0.0013714843847228248,0.002408490681925617,-1.8942037167478324e-06,0.003445801890777307,-0.0009084506041973,-0.00011415148591583038,0.08518723490038682,0.05491995897370738,0.09606393972501986,-7.578041880508149e-05,0.1380327814250139,-0.036193468414136454,-0.004572464366106348,0.018767466397327626,0.0004595185651992067,0.0016462870696804105,-3.3602135240951014e-07,-0.0005073217405803624,-0.0005367335621734251,5.211772421283007e-05,-0.06139180614940806,0.003328865308935662,0.0328921823138689,5.5389331011289855e-06,-0.039971267754707385,-0.005819614047233697,0.001311987785705208,-1.7757522229596174,-1.1468816390203342,-2.0147832869890046,0.0015847587484795677,-2.8852042085028407,0.7647663130528418,0.0955884668411136,0.22414759821207567,-2.1694381891717556,-2.140905128695382,-0.4200959680458195,1.5293456531840544,-1.356816403288303,-0.05109865088592489,-0.28775351745498584,-0.4809337907727898,-0.2147262099653135,-0.996273117439876,-0.5872348950177001,-2.8093096709826835,-13.187566115695699,-66.14273958360086,-19.661823656514574,-107.67689479559267,-56.61911040069906,-0.00028345912821097624,-0.001174955746849401,-0.008762665034773508,-0.005239721531470517,-0.015038790937371491,-0.008592256880308376,-0.023220270569131292,-0.09929695438286569,-0.6767155295935023,-0.3652184521593542,-1.1497930155040628,-0.647226094568347,-1.699449595482169,-7.800646268509793,-42.373224993451515,-15.578007320282442,-69.85478227841625,-37.50721706267364,,,,,,,
-3128.3175047686286,-1835.5173278722325,-2624.592667844993,3.486390363536071,-6612.55481695275,3835.68512564953,2790.270174157223,0.00012467051077095416,-0.004959437530534273,0.0,0.0,0.0,0.0,0.0,-0.04597561377336466,-0.026584693639498894,-0.03666822691018063,5.262379625942394e-05,-0.10024677452382268,0.06141131927588343,0.04632087959680528,-1.290142646047666,-0.7445487129584593,-1.0214162143539578,0.0014832900363364585,-2.827301932660801,1.7459995179026246,1.3233614733658254,0.02109590957002283,0.0022131211863192137,0.004413931993595563,-2.7818736387130727e-05,0.005430768959966845,-0.00433605767752756,-0.0026866676651836254,0.23368242729262462,0.1754115337104156,0.27520361622847817,-0.00032725251576768246,0.5924321718555393,-0.38174046348165835,-0.27675914496160603,29.507423915618766,17.208242041736376,24.231143391460925,-0.03327914488688114,63.24034396102467,-37.592084943442465,-27.80711327473112,0.22407328708059293,-2.1702476097471384,-2.1386776399897705,-0.44148354876988793,1.508616971311997,-1.3638848976401179,-0.0074311131482747705,-0.08094205753827877,0.22274887056116827,-2.138758072406841,-2.0728681872057386,-0.7068494351814942,4.366753773765012,20.681145991670707,70.3682661333958,-192.40318624415275,-107.65950697658629,-11.961454016379411,0.0003409047591409649,0.0018627184999610359,-0.00014980694613585602,-0.03711594877265646,-0.035897154260389676,-0.012974905434912514,0.03043339330524611,0.1544009603388543,0.21256109928578293,-2.58033823787014,-2.288621862547166,-0.7247874432198858,2.343343088932815,11.180910131696207,32.762811142148564,-133.42231557375086,-95.04956312287241,-20.48236351343077,,,,,,,
4781.583278974184,1449.7565754689322,3477.534165809051,-0.6203147761862472,13.70868987454017,101.124109430814,-1666.6350233657668,0.0001558289098743496,-0.004958556312715946,0.0,0.0,0.0,0.0,0.0,-0.025323405195204082,-0.061419527031304294,-0.03515328031907165,0.00019687233301794762,-0.41528884431852314,0.252967012147213,0.1271600295189909,-0.7988346383282596,-1.5742971818910119,-0.9857091810854154,0.004918644084261146,-10.330046095369287,6.307913425300203,3.248756237975379,0.021587064467157135,0.004235855808083311,0.0061450411758270235,-0.0002491575485734643,0.017689698973769503,-0.011980133279392907,-0.006456013198445638,0.05059834530424891,0.20251804862288086,0.16976163356218227,-0.0005980124870178692,1.223464742478332,-0.7677737238591644,-0.38816677537234057,-18.30840747162136,2.710626696914692,-10.54419826662959,-0.02707599712501867,63.10325706227927,-38.603326037750605,-11.140763041073454,0.22472404370991542,-2.169706544049391,-2.132116322208409,-0.475996530547198,1.484967703340947,-1.372161982969698,0.06507566293224733,0.05410656977472475,0.6561317781361307,-3.4512981777310054,-2.364926797105013,-0.8277085329580125,7.25067760805221,13.504862731300351,43.338290757496246,-131.25401053241643,-29.205860989927466,-12.08590977765183,0.001354392762807103,0.004246119188047719,0.0048896973653510395,-0.06932887759750286,-0.055592921938060855,-0.02023400790162438,0.09676781432324219,0.28652656283311956,0.6326423631908239,-3.895605597378187,-2.6634974694561873,-0.8562074460093765,5.4102744076668365,12.633308166354395,39.372156707765974,-132.0671924180075,-53.899298875315054,-15.234841293734465,,,,,,,
-921.9533167584025,596.2956678122566,-392.35076535543243,-1.3519503619690632,4172.038848990267,-400.788600212487,217.25838005076986,0.00018698115711920506,-0.0049574793395848,0.0,0.0,0.0,0.0,0.0,0.039247379489724954,-0.0661043658783777,0.0029586148819769204,0.00035509087596358733,-0.7229535630161988,0.5446322823916436,0.2411620287100666,0.49338576590834793,-1.6686849117252593,-0.22319837462902736,0.00808757596040856,-16.49253421682108,12.148527220225887,5.531935660602633,0.0211541865972536,0.005930685424275213,0.00724406599820096,-0.0008477761034912934,0.032093831719342276,-0.02305723428853497,-0.01153514313415859,-0.04029038942544683,0.16999450090012044,0.10355472743142961,-0.0007335774220711495,1.437293428202098,-1.1137281242154218,-0.5213002437881521,-9.088872589981364,-3.2523795615492483,-6.620690613075265,-0.013556493505328037,21.38286857237659,-34.595440035625735,-13.313346841581152,0.22613164846731923,-2.1689831924924374,-2.124880265055582,-0.5105952190924247,1.461767344206521,-1.3792089717271028,0.14076047574037998,0.072335155695366,0.723605715282737,-3.459868854522667,-2.3200359134425934,-0.7046988757404713,7.568481280813263,1.8228585920641247,6.7473937146606335,-0.8570676791661771,4.489088366241993,12.300965721754114,0.0028086350125727673,0.0066608547067227766,0.009918780266543106,-0.1017533159713615,-0.07907780855243193,-0.026801313077716465,0.16758015058668466,0.32916136422998754,0.7737716085647788,-4.200402860773116,-2.750427149826172,-0.7953640136757743,6.747731723901212,5.933989831852755,19.154341400780428,-50.75527395481292,-17.715568450299365,1.829309047697791,,,,,,,
-663.4421532792907,150.46589741334978,-289.6673652479078,-1.7565458435085775,2495.728716807617,-3760.3008830091376,-1286.2804301449503,0.00021812602266814047,-0.004956206653657893,0.0,0.0,0.0,0.0,0.0,0.09873901816101892,-0.030944474499172564,0.054869962537244174,0.0003993777521373045,-0.8298411398249528,0.6692116424848147,0.29491981813001245,1.4856567043108309,-1.0831402320946775,0.6423267493467245,0.008829502878344234,-18.281854277079017,14.2310315493648,6.4306277468753255,0.02047934261723211,0.007151500831589162,0.007970902064009758,-0.0017766518408365295,0.04612580832692546,-0.03383443550374373,-0.016663256049484473,-0.0648348901291593,0.12242386768972206,0.06631455782546775,-0.0006934877727735721,1.4015492422451021,-1.0836524362707654,-0.5258056691894686,-2.4544490316458942,-4.757088104275787,-3.724016960596187,0.004008964929757739,-3.57441859569958,3.0075687944656426,-0.45054254013164874,0.22819221448383545,-2.1681246935713205,-2.1172039965922576,-0.5450918123784659,1.4390902857244063,-1.3851674744325997,0.2060566016516206,0.08584989211169272,0.7676268463324336,-3.449659328604124,-2.267705848211466,-0.5958502705497006,6.529612591124064,1.3514736416326716,4.402113104969664,1.020952591854303,5.2330065231127385,10.884860519077066,0.00480303931502644,0.00985453478436998,0.017343794137901162,-0.141836289218743,-0.10549159349076079,-0.03388364982921657,0.23347938627392575,0.35534697585938324,0.8585833524768702,-4.333357063763276,-2.761550985843978,-0.7115544389906131,6.612871145704037,3.100672207935695,10.033206485475054,-18.742622152801694,-3.526725636232241,7.428253495052755,,,,,,,
-85.20314484962314,-62.42452372470035,-66.40948356970537,0.03312126310298915,4.060349949417397,21.304176772425354,-4.729651704679094,0.00024926227697519244,-0.004954738305178683,0.0,0.0,0.0,0.0,0.0,0.13971413131132734,0.028198715786221393,0.10637141936463783,0.00034452595127585777,-0.7536602964424999,0.6380285619120151,0.29040859862507173,2.048966583410484,-0.27179734919781584,1.3496563498533223,0.00808073726582074,-17.244683910842564,13.809782261076368,6.37166716653403,0.019646994088538983,0.007960670875866159,0.008391248955824437,-0.003012210178648278,0.05978085133030607,-0.04432541849743198,-0.021834151421980846,-0.08085905453537896,0.08109519123275888,0.035715336576476416,-0.0006567102497862937,1.3653990212931646,-1.0557071660033515,-0.5298381294203172,-1.6024152462004764,-4.1328924219166066,-3.059922124899133,0.0036777522987278474,-3.615022095193754,2.794527026741389,-0.4032460230848578,0.23077192472978125,-2.167186985262486,-2.1092850114348574,-0.5792942341152351,1.4169845623156663,-1.390224282494291,0.25797102459458093,0.09377083088346398,0.7918985157400038,-3.4202421736769137,-2.2105723408740134,-0.5056808061691328,5.191442294296032,0.7920938771771255,2.4271669407570142,2.9417154927210016,5.7133507337452265,9.016946438056786,0.0073565781804430155,0.01338130089781307,0.02583252088685184,-0.18439994383481217,-0.13255603692686502,-0.04050271552797269,0.2896083022651869,0.37011277873870535,0.9054066963875731,-4.3682333064081895,-2.731814022194565,-0.6260954005716,5.734325907349138,1.6738048006446398,5.332127132729431,-5.340142270334772,2.184305970336153,8.41017996917889,,,,,,,
-70.50437885086191,-76.53604403759134,-63.67981771502866,0.04174128973899287,3.3340882195243005,15.874969135043493,3.370859366309542,0.0002803886908343549,-0.004953074352115056,0.0,0.0,0.0,0.0,0.0,0.15807105146751815,0.09381900379540335,0.14808184495244509,0.00022499601734211945,-0.5497790550735979,0.4964402299149991,0.24373729906561892,2.2543993880360973,0.4578487620500775,1.8143280265724704,0.00675561710431734,-14.986097222659442,12.242419838740258,5.855823582309497,0.01872721468748373,0.008434519494313668,0.008568027127803218,-0.004531975847401948,0.0730559194416437,-0.05453809390125755,-0.027050285946852784,-0.08983275613036673,0.047419623707354336,0.011484097098987952,-0.0006241068557729145,1.3289153915192746,-1.029349392649442,-0.5342076755877967,-0.8973688094283058,-3.367581520766957,-2.4231239477488464,0.0032603394013379187,-3.648362977388997,2.635777335390954,-0.4369546167479532,0.23375309338303474,-2.166228891620494,-2.101278237438894,-0.613033666587219,1.395480713788734,-1.3945383760669063,0.29811686532534754,0.09580936419919334,0.800677399596308,-3.3739432471983983,-2.1503848526932314,-0.431409357261544,4.014584073076659,0.20385333157293611,0.8778883856304179,4.629892647851534,6.018748818078185,7.427144890758881,0.010410204339196689,0.017055708006893842,0.0348186276581182,-0.22760041526786706,-0.15947694937842422,-0.046416998214942974,0.334986044886888,0.37662328669467,0.9277365328689727,-4.352265818929185,-2.6832919063307092,-0.5488333033102039,4.671457457666465,0.7653166730054387,2.579231472871037,0.8217335098503922,4.554143258559414,7.8026254229315635,,,,,,,
